Snr;vorname;nachname;geburtsdatum;strasse;plz;ort;foerderbedarf;zieldifferent;empfehlung
100223;Lukas;Mueller;14.03.2012;Aachener Straße 12;41061;Mönchengladbach;0;0;R
100223;Mä;Schneider;22.07.2011;Aachener Straße 77;41061;Mönchengladbach;0;0;R
100223;Leon;Fischer;03.11.2012;Aachener Straße 160;41061;Mönchengladbach;0;0;GY
100223;Emma;Weber;18.01.2011;Aachener Straße 218;41069;Mönchengladbach;0;0;GY
100223;Noah;Wagner;09.06.2012;Hohenzollernstraße 44;41061;Mönchengladbach;0;0;GY
100223;Sophia;Becker;27.09.2011;Viersener Straße 8;41061;Mönchengladbach;1;0;R
100223;Elias;Hoffmann;12.12.2012;Kaiserstraße 67;41061;Mönchengladbach;1;1;
100223;Hannah;Schäfer;30.04.2011;Waldnieler Straße 50;41068;Mönchengladbach;1;0;H
100223;Finn;Koch;05.08.2012;Bettrather Straße 77;41061;Mönchengladbach;0;0;H
100223;Lina;Richter;19.10.2011;Lüpertzender Straße 85;41061;Mönchengladbach;0;0;R
102921;Paul;Klein;11.02.2012;Neusser Straße 120;41065;Mönchengladbach;1;1;
102921;Marie;Wolf;25.05.2011;Korschenbroicher Straße 85;41065;Mönchengladbach;0;0;R
102921;Ben;Schröder;07.07.2012;Eickener Straße 150;41063;Mönchengladbach;0;0;H/R
102921;Laura;Neumann;16.03.2011;Bismarckstraße 102;41061;Mönchengladbach;0;0;R/GY
102921;Jonas;Braun;29.09.2012;Albertusstraße 34;41061;Mönchengladbach;0;0;R
102921;Clara;Krüger;08.11.2011;Hauptstraße 210;41236;Mönchengladbach-Rheydt;1;0;R
102921;Tim;Zimmermann;20.01.2012;Friedrich-Ebert-Straße 95;41236;Mönchengladbach-Rheydt;0;0;GY
102921;Lea;Hartmann;14.06.2011;Königstraße 151;41236;Mönchengladbach-Rheydt;0;0;R
102921;Felix;Lange;01.10.2012;Schlossstraße 72;41238;Mönchengladbach;0;0;R
102921;Janpua;Schmittka;23.12.2011;Hardter Straße 310;41179;Mönchengladbach;0;0;R
